ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10014.85	33.91	8.5	32.91	22.94	10010	0	0	64	16	63	43	22	7	21	15	0	0	0.14589738845825195	200	0.14589738845825195	200	0.0	
9957.65884033452	32.56	8.32	31.594285714285714	22.062857142857144	15.297058540778355	1	25	64	16.0	63.0	43.0	10	7.0	21.0	15.0	0	0	0.06931114196777344	400	0.2152085304260254	339	15.25	
9785.972622838204	34.17	8.325714285714286	32.074285714285715	22.382857142857144	14.317821063276353	2	50	67	17.0	63.0	43.0	7	7.0	21.0	15.0	0	0	0.07537245750427246	600	0.29058098793029785	477	20.5	
9678.933529140973	36.685	8.17877094972067	32.11173184357542	22.407821229050278	11.40175425099138	3	71	80	13.0	51.0	35.0	7	7.0	21.0	15.0	0	0	0.1000986099243164	800	0.39067959785461426	631	21.125	
9729.83944212628	36.96	8.227272727272727	33.03409090909091	23.022727272727273	11.40175425099138	4	95	70	13.0	51.0	35.0	4	7.0	21.0	15.0	0	0	0.07791376113891602	1000	0.4685933589935303	769	23.099999999999994	
9441.539760464953	39.23	8.268571428571429	33.497142857142855	23.33142857142857	11.40175425099138	5	120	89	13.0	57.0	39.0	13	7.0	21.0	15.0	0	0	0.08251547813415527	1200	0.5511088371276855	906	24.5	
9498.440546598746	43.905	8.331428571428571	34.16571428571429	23.777142857142856	11.40175425099138	6	145	98	13.0	60.0	41.0	5	7.0	21.0	15.0	0	0	0.08331298828125	1400	0.6344218254089355	1041	25.64285714285714	
9209.988876920168	46.475	8.27807486631016	34.20320855614973	23.802139037433154	11.40175425099138	7	158	98	15.0	54.0	37.0	9	7.0	21.0	15.0	0	0	0.09873342514038086	1600	0.7331552505493164	1179	26.3125	
9360.017748451084	48.855	8.228260869565217	34.53260869565217	24.02173913043478	11.40175425099138	8	174	107	13.0	54.0	37.0	11	7.0	21.0	15.0	0	0	0.0939328670501709	1800	0.8270881175994873	1330	26.111111111111114	
9112.037595636122	53.925	8.132275132275133	33.84126984126984	23.56084656084656	11.40175425099138	9	185	107	15.0	60.0	41.0	14	7.0	21.0	15.0	0	0	0.09854364395141602	2000	0.9256317615509033	1472	26.400000000000006	
9444.376425537635	58.115	8.092783505154639	34.175257731958766	23.783505154639176	11.40175425099138	10	191	107	13.0	60.0	41.0	14	7.0	21.0	15.0	0	0	0.10945582389831543	2200	1.0350875854492188	1624	26.181818181818187	
9653.885056291383	60.42	8.25	34.98979591836735	24.3265306122449	11.40175425099138	11	195	117	14.0	63.0	43.0	17	7.0	21.0	15.0	0	0	0.10729217529296875	2400	1.1423797607421875	1784	25.66666666666667	
9554.300519204451	61.165	8.406091370558375	35.83248730964467	24.888324873096447	11.40175425099138	12	198	123	14.0	63.0	43.0	11	7.0	21.0	15.0	0	0	0.10817146301269531	2600	1.2505512237548828	1931	25.73076923076924	
9135.288311788114	63.92	8.438144329896907	36.2319587628866	25.15463917525773	11.40175425099138	13	204	122	15.0	75.0	51.0	14	7.0	21.0	15.0	0	0	0.11287093162536621	2800	1.363422155380249	2092	25.285714285714292	
9097.874146128845	68.785	8.456852791878173	36.33502538071066	25.223350253807105	11.40175425099138	14	207	135	14.0	66.0	45.0	6	7.0	21.0	15.0	0	0	0.11211252212524414	3000	1.4755346775054932	2243	25.233333333333334	
9347.873849600208	70.43	8.346938775510203	36.33673469387755	25.224489795918366	11.40175425099138	15	211	130	13.0	60.0	41.0	15	7.0	21.0	15.0	0	0	0.11710166931152344	3200	1.5926363468170166	2407	24.78125	
9202.72738817862	75.455	8.535353535353535	37.60606060606061	26.07070707070707	11.40175425099138	16	213	147	13.0	72.0	49.0	24	7.0	21.0	15.0	0	0	0.11495447158813477	3400	1.7075908184051514	2558	24.764705882352942	
8849.662630375142	76.46	8.590909090909092	37.696969696969695	26.13131313131313	11.40175425099138	17	215	146	14.0	63.0	43.0	17	7.0	24.0	17.0	0	0	0.1151120662689209	3600	1.8227028846740723	2718	24.5	
