ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
inf	26.634	6.502	24.994	17.92	0.19717180736672157	0	0	154	10	144	103	3	3	3	2	0	0	0.4350767135620117	500	0.4350767135620117	
inf	24.024	7.897097625329815	18.03957783641161	12.849604221635884	0.19030529869801968	1	122	147	35.0	109.0	83.0	2	2.0	2.0	1.0	0	0	0.04887199401855469	1000	0.4839487075805664	
inf	25.424	7.718009478672986	16.277251184834125	11.748815165876778	0.19030529869801968	2	201	119	37.0	106.0	78.0	3	2.0	2.0	1.0	0	0	0.03801107406616211	1500	0.5219597816467285	
56.74632539462191	27.634	7.519906323185012	15.405152224824356	11.163934426229508	0.19030529869801968	3	275	108	24.0	74.0	54.0	1	2.0	2.0	1.0	0	0	0.036272525787353516	2000	0.558232307434082	
7.027872798630049	26.032	6.748344370860927	13.28476821192053	9.551876379690949	0.19030529869801968	4	323	84	23.0	86.0	64.0	3	2.0	2.0	1.0	0	0	0.0339353084564209	2500	0.5921676158905029	
inf	26.706	6.704496788008566	12.558886509635974	9.09421841541756	0.19030529869801968	5	357	89	27.0	73.0	54.0	3	2.0	2.0	1.0	0	0	0.03329777717590332	3000	0.6254653930664062	
4.436774642947332e+55	28.31	6.83089770354906	12.870563674321502	9.315240083507307	0.18631402702787178	6	379	93	25.0	83.0	57.0	3	2.0	2.0	1.0	0	0	0.03346657752990723	3500	0.6589319705963135	
60.00748376565306	29.07	6.770212765957447	12.5	9.136170212765958	0.18631402702787178	7	410	99	23.0	91.0	68.0	5	2.0	2.0	1.0	0	0	0.03402280807495117	4000	0.6929547786712646	
1.4907795483908204	29.728	7.0973630831643	13.04259634888438	9.594320486815416	0.18631402702787178	8	418	88	27.0	83.0	64.0	4	2.0	2.0	1.0	0	0	0.03633570671081543	4500	0.7292904853820801	
inf	31.348	7.179959100204499	13.83640081799591	10.130879345603272	0.18631402702787178	9	430	94	27.0	83.0	64.0	4	2.0	2.0	1.0	0	0	0.038112640380859375	5000	0.7674031257629395	
4.346239392596528e+131	32.582	7.7100840336134455	15.510504201680673	11.418067226890756	0.18631402702787178	10	455	99	30.0	88.0	68.0	5	2.0	2.0	1.0	0	0	0.04274439811706543	5500	0.8101475238800049	
inf	35.704	8.10901467505241	16.71069182389937	12.331236897274634	0.18631402702787178	11	479	99	31.0	89.0	69.0	2	2.0	2.0	1.0	0	0	0.04547882080078125	6000	0.8556263446807861	
3.000424110762572	38.438	8.427685950413224	17.64876033057851	13.03099173553719	0.18631402702787178	12	496	107	31.0	122.0	92.0	4	2.0	2.0	1.0	0	0	0.04362320899963379	6500	0.8992495536804199	
inf	38.856	7.873706004140787	15.832298136645962	11.654244306418219	0.18631402702787178	13	514	108	30.0	115.0	87.0	6	2.0	2.0	1.0	0	0	0.04045534133911133	7000	0.9397048950195312	
34.178287621088806	42.746	8.061475409836065	16.577868852459016	12.24795081967213	0.18631402702787178	14	527	106	29.0	115.0	87.0	4	2.0	2.0	1.0	0	0	0.04156994819641113	7500	0.9812748432159424	
4.372870481423399e+55	45.622	8.584362139917696	18.160493827160494	13.537037037037036	0.18631402702787178	15	542	115	33.0	126.0	95.0	6	2.0	2.0	1.0	0	0	0.044699668884277344	8000	1.0259745121002197	
1.9621273536538746	46.092	8.701219512195122	19.13821138211382	14.184959349593496	0.18631402702787178	16	551	150	29.0	140.0	106.0	4	2.0	2.0	1.0	0	0	0.04508781433105469	8500	1.0710623264312744	
1.3048374841088807e+28	46.65	9.004149377593361	20.42323651452282	15.174273858921161	0.18631402702787178	17	570	150	30.0	152.0	113.0	6	2.0	2.0	1.0	0	0	0.04763650894165039	9000	1.1186988353729248	
8883732320.142834	49.692	9.502057613168724	22.17695473251029	16.45679012345679	0.18631402702787178	18	585	135	35.0	139.0	104.0	4	2.0	2.0	1.0	0	0	0.0513606071472168	9500	1.1700594425201416	
8.726332047640206e+16	51.584	9.755600814663952	23.965376782077392	17.775967413441954	0.18472851311815447	19	595	145	38.0	155.0	114.0	6	2.0	2.0	1.0	0	0	0.05391049385070801	10000	1.2239699363708496	
1.9681548244884836e+39	55.562	10.557851239669422	26.59090909090909	19.68388429752066	0.18472851311815447	20	612	158	35.0	167.0	125.0	7	2.0	2.0	1.0	0	0	0.05692911148071289	10500	1.2808990478515625	
12.794284521164446	60.438	11.34446764091858	30.703549060542798	22.668058455114824	0.18472851311815447	21	634	176	37.0	183.0	136.0	5	2.0	2.0	1.0	0	0	0.06325602531433105	11000	1.3441550731658936	
inf	60.186	11.71369294605809	30.54564315352697	22.645228215767634	0.18472851311815447	22	652	162	38.0	176.0	129.0	2	2.0	2.0	1.0	0	0	0.0641477108001709	11500	1.4083027839660645	
1.3320640441187508	62.602	11.983539094650206	32.39300411522634	24.0	0.18472851311815447	23	667	208	46.0	251.0	186.0	5	2.0	2.0	1.0	0	0	0.06617331504821777	12000	1.4744760990142822	
